リスクシンボル,正規化された損失,メーカー,燃料タイプ,吸気,ドア数,ボディスタイル,駆動輪,エンジン位置,軸距,全長,全幅,全高,車両重量,エンジンタイプ,シリンダー数,エンジンサイズ,燃料システム,ボア,ストローク,圧縮比,馬力,最高出力発生回転数,都市燃費,高速道路燃費,価格
3,,"alfa-romero","gas","std","two","オープンカー","rwd","front",88.600000,168.800000,64.100000,48.800000,2548,"dohc","four",130,"mpfi",3.470000,2.680000,9.000000,111,5000,21,27,13495
3,,"alfa-romero","gas","std","two","オープンカー","rwd","front",88.600000,168.800000,64.100000,48.800000,2548,"dohc","four",130,"mpfi",3.470000,2.680000,9.000000,111,5000,21,27,16500
1,,"alfa-romero","gas","std","two","ハッチバック","rwd","front",94.500000,171.200000,65.500000,52.400000,2823,"ohcv","six",152,"mpfi",2.680000,3.470000,9.000000,154,5000,19,26,16500
2,164,"audi","gas","std","four","セダン","fwd","front",99.800000,176.600000,66.200000,54.300000,2337,"ohc","four",109,"mpfi",3.190000,3.400000,10.000000,102,5500,24,30,13950
2,164,"audi","gas","std","four","セダン","4wd","front",99.400000,176.600000,66.400000,54.300000,2824,"ohc","five",136,"mpfi",3.190000,3.400000,8.000000,115,5500,18,22,17450
2,,"audi","gas","std","two","セダン","fwd","front",99.800000,177.300000,66.300000,53.100000,2507,"ohc","five",136,"mpfi",3.190000,3.400000,8.500000,110,5500,19,25,15250
1,158,"audi","gas","std","four","セダン","fwd","front",105.800000,192.700000,71.400000,55.700000,2844,"ohc","five",136,"mpfi",3.190000,3.400000,8.500000,110,5500,19,25,17710
1,,"audi","gas","std","four","ワゴン","fwd","front",105.800000,192.700000,71.400000,55.700000,2954,"ohc","five",136,"mpfi",3.190000,3.400000,8.500000,110,5500,19,25,18920
1,158,"audi","gas","turbo","four","セダン","fwd","front",105.800000,192.700000,71.400000,55.900000,3086,"ohc","five",131,"mpfi",3.130000,3.400000,8.300000,140,5500,17,20,23875
2,192,"bmw","gas","std","two","セダン","rwd","front",101.200000,176.800000,64.800000,54.300000,2395,"ohc","four",108,"mpfi",3.500000,2.800000,8.800000,101,5800,23,29,16430
0,192,"bmw","gas","std","four","セダン","rwd","front",101.200000,176.800000,64.800000,54.300000,2395,"ohc","four",108,"mpfi",3.500000,2.800000,8.800000,101,5800,23,29,16925
0,188,"bmw","gas","std","two","セダン","rwd","front",101.200000,176.800000,64.800000,54.300000,2710,"ohc","six",164,"mpfi",3.310000,3.190000,9.000000,121,4250,21,28,20970
0,188,"bmw","gas","std","four","セダン","rwd","front",101.200000,176.800000,64.800000,54.300000,2765,"ohc","six",164,"mpfi",3.310000,3.190000,9.000000,121,4250,21,28,21105
1,,"bmw","gas","std","four","セダン","rwd","front",103.500000,189.000000,66.900000,55.700000,3055,"ohc","six",164,"mpfi",3.310000,3.190000,9.000000,121,4250,20,25,24565
0,,"bmw","gas","std","four","セダン","rwd","front",103.500000,189.000000,66.900000,55.700000,3230,"ohc","six",209,"mpfi",3.620000,3.390000,8.000000,182,5400,16,22,30760
